species,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year
Momotus lessonii,,Quintana Roo,20.69804,-87.061428,16/10/2022 10:36,16,10,2022
Momotus mexicanus,,Oaxaca,15.730918,-96.162795,09/12/2021 18:11,9,12,2021
Momotus mexicanus,,Jalisco,20.708753,-103.393621,18/11/2022 06:51,18,11,2022
Momotus mexicanus,,Jalisco,20.75909,-103.375333,18/11/2022 18:16,18,11,2022
Momotus mexicanus,,Jalisco,20.761801,-103.377349,18/11/2022 18:13,18,11,2022
Momotus lessonii,,Yucatán,20.952154,-90.133293,12/11/2022 14:47,12,11,2022
Momotus lessonii,,Veracruz,18.450677,-95.066375,24/11/2022 12:28,24,11,2022
Momotus mexicanus,,Morelos,18.807942,-98.950266,16/11/2022 08:11,16,11,2022
Momotus mexicanus,,Jalisco,20.30371,-103.280909,19/11/2022 10:27,19,11,2022
Momotus lessonii,,Oaxaca,18.00654,-96.246247,06/12/2021 17:43,6,12,2021
Momotus mexicanus,,Oaxaca,15.754345,-96.150987,05/11/2022 08:37,5,11,2022
Momotus mexicanus,,Nayarit,20.747341,-105.430934,07/11/2022 07:28,7,11,2022
Momotus mexicanus,,Nayarit,20.769527,-105.462807,12/11/2022 07:37,12,11,2022
Momotus mexicanus,,Jalisco,19.672992,-104.32546,21/10/2022 10:26,21,10,2022
Momotus mexicanus,,Nayarit,20.748152,-105.430614,08/11/2022 07:39,8,11,2022
Momotus mexicanus,,Nayarit,20.769527,-105.462807,12/11/2022 07:32,12,11,2022
Momotus mexicanus,,Nayarit,20.769527,-105.462807,12/11/2022 07:50,12,11,2022
Momotus lessonii,,Veracruz,18.439976,-95.046752,11/11/2022 08:06,11,11,2022
Momotus mexicanus,,Morelos,18.912384,-99.214844,01/07/2020 20:27,1,7,2020
Momotus mexicanus,,Oaxaca,15.754042,-96.143716,05/11/2022 10:25,5,11,2022
Momotus lessonii,,Quintana Roo,20.075428,-87.610688,20/02/2022 15:21,20,2,2022
Momotus mexicanus,,Nayarit,20.747382,-105.430996,06/11/2022 08:01,6,11,2022
Momotus mexicanus,,Nayarit,20.747382,-105.430996,06/11/2022 07:55,6,11,2022
Momotus mexicanus,,Oaxaca,15.77711,-96.200498,06/10/2022 08:33,6,10,2022
Momotus mexicanus,,Zacatecas,22.169058,-103.575412,16/07/2022 11:59,16,7,2022
Momotus mexicanus,,Oaxaca,15.773561,-96.100183,30/03/2022 06:52,30,3,2022
Momotus mexicanus,,Oaxaca,15.77985,-96.162827,05/10/2022 11:13,5,10,2022
Momotus mexicanus,,México,18.79281,-99.660814,18/07/2020 13:43,18,7,2020
Momotus mexicanus,,Jalisco,20.718321,-103.527841,02/11/2022 08:47,2,11,2022
Momotus mexicanus,,Colima,19.269677,-103.725739,29/10/2022 11:09,29,10,2022
Momotus mexicanus,,Morelos,18.92421,-99.221566,26/10/2022 08:38,26,10,2022
Momotus mexicanus,,Oaxaca,15.885168,-96.415859,12/04/2022 07:13,12,4,2022
Momotus mexicanus,,Jalisco,20.759472,-103.374167,31/10/2022 10:42,31,10,2022
Momotus coeruliceps,,Nuevo León,25.538737,-100.274809,13/10/2022 15:17,13,10,2022
Momotus mexicanus,,Oaxaca,15.757287,-96.168695,20/06/2022 07:51,20,6,2022
Momotus mexicanus,,Morelos,18.92421,-99.221566,26/10/2022 08:37,26,10,2022
Momotus mexicanus,,Sinaloa,23.881333,-106.318435,07/05/2022 18:00,7,5,2022
Momotus mexicanus,,Oaxaca,15.733551,-96.158279,10/12/2021 11:28,10,12,2021
Momotus lessonii,,Yucatán,21.028612,-89.639756,28/10/2022 07:58,28,10,2022
Momotus mexicanus,,Morelos,18.92421,-99.221566,26/10/2022 08:37,26,10,2022
Momotus lessonii,,Yucatán,20.733312,-89.271481,30/10/2022 17:53,30,10,2022
Momotus mexicanus,,Jalisco,20.600775,-105.234717,02/11/2022 09:08,2,11,2022
Momotus coeruliceps,,San Luis Potosí,21.913973,-98.951484,04/06/2022 15:05,4,6,2022
Momotus mexicanus,,Sinaloa,24.48017,-106.725875,30/04/2022 17:10,30,4,2022
Momotus mexicanus,,Jalisco,20.741767,-103.310559,13/04/2022 07:31,13,4,2022
Momotus coeruliceps,,Veracruz,19.422651,-96.786446,27/09/2022 09:39,27,9,2022
Momotus mexicanus,,Guerrero,17.634736,-101.541729,22/10/2022 20:10,22,10,2022
Momotus lessonii,,Quintana Roo,18.585928,-88.451562,23/10/2022 15:16,23,10,2022
Momotus mexicanus,,Sonora,27.034646,-109.013453,11/08/2022 10:15,11,8,2022
Momotus lessonii,,Yucatán,20.788599,-89.590262,15/10/2022 08:52,15,10,2022
Momotus coeruliceps,,Veracruz,19.5475,-96.9203,21/10/2022 10:16,21,10,2022
Momotus lessonii,,Quintana Roo,18.585945,-88.451575,23/10/2022 15:16,23,10,2022
Momotus mexicanus,,Nayarit,21.475565,-104.861405,03/08/2021 10:12,3,8,2021
Momotus lessonii,,Veracruz,18.799886,-96.951671,07/03/2022 04:42,7,3,2022
Momotus mexicanus,,Morelos,18.773922,-98.782137,20/08/2022 09:16,20,8,2022
Momotus mexicanus,,Puebla,18.90443,-97.897198,14/10/2022 17:11,14,10,2022
Momotus mexicanus,,Oaxaca,15.910203,-96.419544,24/04/2022 07:45,24,4,2022
Momotus lessonii,,Yucatán,20.947475,-89.577756,16/10/2022 06:42,16,10,2022
Momotus coeruliceps,,Querétaro,21.215588,-99.493125,09/10/2022 10:09,9,10,2022
Momotus lessonii,,Yucatán,21.19396,-88.169608,15/10/2022 16:31,15,10,2022
Momotus mexicanus,,Jalisco,20.703997,-103.391647,14/10/2022 19:23,14,10,2022
Momotus mexicanus,,Jalisco,20.708722,-103.393593,07/10/2022 12:53,7,10,2022
Momotus mexicanus,,Jalisco,20.700687,-103.392877,09/10/2022 12:36,9,10,2022
Momotus lessonii,,Yucatán,20.604609,-88.135537,06/05/2022 08:40,6,5,2022
Momotus mexicanus,,Jalisco,20.708722,-103.393593,09/10/2022 13:01,9,10,2022
Momotus mexicanus,,Jalisco,20.710866,-103.399066,09/10/2022 15:13,9,10,2022
Momotus mexicanus,,Jalisco,20.700668,-103.392567,09/10/2022 12:34,9,10,2022
Momotus mexicanus,,Jalisco,20.70329,-103.391672,09/10/2022 12:57,9,10,2022
Momotus mexicanus,,Oaxaca,16.587611,-94.775296,05/06/2022 08:17,5,6,2022
Momotus mexicanus,,Jalisco,20.710222,-103.398908,09/10/2022 14:53,9,10,2022
Momotus coeruliceps,,Veracruz,19.508669,-96.949344,04/10/2022 00:00,4,10,2022
Momotus mexicanus,,Puebla,18.870309,-98.371458,09/08/2022 11:52,9,8,2022
Momotus mexicanus,,Oaxaca,15.668014,-96.491314,30/06/2022 15:20,30,6,2022
Momotus mexicanus,,Oaxaca,15.887551,-97.06927,07/05/2022 17:47,7,5,2022
Momotus lessonii,,Veracruz,18.896371,-96.951804,17/03/2021 00:00,17,3,2021
Momotus mexicanus,,Oaxaca,15.665629,-96.4972,06/05/2022 09:36,6,5,2022
Momotus mexicanus,,Oaxaca,15.661396,-96.505006,26/07/2022 05:03,26,7,2022
Momotus mexicanus,,Chiapas,15.936958,-93.807981,13/04/2022 07:36,13,4,2022
Momotus coeruliceps,,Nuevo León,25.538673,-100.274784,21/09/2022 16:05,21,9,2022
Momotus mexicanus,,Oaxaca,15.661467,-96.505073,19/07/2022 06:34,19,7,2022
Momotus mexicanus,,Oaxaca,15.887551,-97.06927,07/05/2022 17:49,7,5,2022
Momotus mexicanus,,Chiapas,15.936679,-93.808131,13/04/2022 06:57,13,4,2022
Momotus mexicanus,,Oaxaca,15.673258,-96.523358,31/03/2022 08:01,31,3,2022
Momotus mexicanus,,Michoacán,19.20998,-101.457618,29/05/2022 07:49,29,5,2022
Momotus mexicanus,,Oaxaca,16.722284,-97.5253,22/09/2022 07:48,22,9,2022
Momotus mexicanus,,Guerrero,18.409514,-99.784777,21/06/2021 22:16,21,6,2021
Momotus coeruliceps,,Tamaulipas,23.058163,-99.22962,17/09/2022 14:34,17,9,2022
Momotus mexicanus,,Jalisco,20.649027,-105.229108,24/09/2022 08:09,24,9,2022
Momotus mexicanus,,Jalisco,20.708903,-103.393713,24/09/2022 12:12,24,9,2022
Momotus mexicanus,,Zacatecas,22.176934,-103.568841,25/09/2022 09:18,25,9,2022
Momotus mexicanus,,Jalisco,20.303889,-103.280686,21/09/2022 18:26,21,9,2022
Momotus lessonii,,Veracruz,18.785972,-96.922064,21/09/2022 16:14,21,9,2022
Momotus mexicanus,,Morelos,18.831841,-98.938196,12/06/2022 06:40,12,6,2022
Momotus mexicanus,,Morelos,18.802019,-98.955657,20/09/2022 08:30,20,9,2022
Momotus lessonii,,Veracruz,18.450677,-95.066375,25/09/2022 11:10,25,9,2022
Momotus mexicanus,,Jalisco,20.648159,-105.233909,25/09/2022 21:28,25,9,2022
Momotus mexicanus,,Sinaloa,23.4259,-106.323007,01/05/2022 10:18,1,5,2022
Momotus mexicanus,,Colima,19.232288,-104.136858,20/08/2022 11:56,20,8,2022
Momotus mexicanus,,Sinaloa,23.425438,-106.323346,01/05/2022 22:44,1,5,2022
Momotus lessonii,,Yucatán,20.891877,-88.136915,23/06/2022 17:44,23,6,2022
Momotus mexicanus,,Puebla,18.316574,-97.344412,19/09/2022 11:59,19,9,2022
Momotus mexicanus,,Jalisco,20.71031,-103.394339,08/09/2022 11:08,8,9,2022
Momotus mexicanus,,Jalisco,20.352675,-105.291198,10/09/2022 07:05,10,9,2022
Momotus lessonii,,Veracruz,18.845143,-96.996185,10/09/2022 07:01,10,9,2022
Momotus mexicanus,Mexico - Morelos (MO),Morelos,18.601151,-99.263147,30/07/2022 00:00,30,7,2022
Momotus lessonii,Mexico - Yucatán (YU),Yucatán,20.816453,-88.054487,24/07/2022 00:00,24,7,2022
Momotus lessonii,"Mexico - Jardín Botanico de CICY, Mérida",Yucatán,21.028744,-89.639191,10/06/2022 00:00,10,6,2022
Momotus mexicanus,,Oaxaca,16.641271,-98.095468,16/08/2022 21:49,16,8,2022
Momotus mexicanus,,Jalisco,20.707688,-103.391052,01/09/2022 14:05,1,9,2022
Momotus mexicanus,,Jalisco,20.702237,-103.275373,14/07/2022 11:31,14,7,2022
Momotus lessonii,,Quintana Roo,20.708259,-87.101008,08/09/2022 18:55,8,9,2022
Momotus mexicanus,,Jalisco,20.700984,-103.270156,14/07/2022 12:03,14,7,2022
Momotus mexicanus,,Morelos,18.831407,-98.938473,14/05/2022 09:42,14,5,2022
Momotus mexicanus,,Jalisco,20.735744,-105.21363,05/09/2022 07:03,5,9,2022
Momotus mexicanus,,Jalisco,20.708721,-103.393593,11/09/2022 00:00,11,9,2022
Momotus mexicanus,,Chiapas,16.009004,-93.432224,23/08/2022 07:13,23,8,2022
Momotus lessonii,,Tabasco,17.383257,-92.742544,03/08/2022 16:33,3,8,2022
Momotus mexicanus,,Sinaloa,23.109348,-105.666086,01/08/2022 08:24,1,8,2022
Momotus mexicanus,,Nayarit,21.721256,-104.881693,16/08/2022 10:06,16,8,2022
Momotus coeruliceps,,Tamaulipas,23.779178,-99.204617,13/08/2022 10:24,13,8,2022
Momotus mexicanus,,Oaxaca,15.834007,-96.319949,20/08/2022 09:28,20,8,2022
Momotus mexicanus,,Jalisco,20.72027,-103.411053,19/08/2022 17:32,19,8,2022
Momotus coeruliceps,,Veracruz,20.469072,-97.080436,24/07/2022 11:39,24,7,2022
Momotus lessonii,,Veracruz,19.131599,-96.9528,18/08/2022 13:55,18,8,2022
Momotus mexicanus,,Oaxaca,15.706758,-96.429461,04/05/2022 08:15,4,5,2022
Momotus mexicanus,,Jalisco,20.296092,-105.331613,17/03/2022 00:00,17,3,2022
Momotus mexicanus,,Jalisco,20.336306,-103.237969,30/07/2022 09:26,30,7,2022
Momotus mexicanus,,Jalisco,20.800127,-103.330007,21/08/2022 10:30,21,8,2022
Momotus mexicanus,,Oaxaca,15.683856,-96.523719,15/08/2022 06:30,15,8,2022
Momotus mexicanus,,Jalisco,20.299699,-103.263708,28/04/2022 19:07,28,4,2022
Momotus mexicanus,,Colima,19.419813,-103.743306,18/08/2022 11:01,18,8,2022
Momotus lessonii,,Chiapas,17.173489,-92.329558,17/08/2022 16:39,17,8,2022
Momotus lessonii,,Veracruz,18.480013,-95.298756,20/08/2022 15:20,20,8,2022
Momotus mexicanus,,Jalisco,20.719738,-103.411858,19/08/2022 12:22,19,8,2022
Momotus mexicanus,,Jalisco,20.521628,-105.260688,28/08/2022 17:16,28,8,2022
Momotus mexicanus,,Sinaloa,23.87568,-106.321711,06/02/2022 10:50,6,2,2022
Momotus mexicanus,,Chiapas,16.73607,-93.165065,19/08/2022 19:40,19,8,2022
Momotus mexicanus,,Oaxaca,15.769056,-96.193515,09/08/2022 19:15,9,8,2022
Momotus mexicanus,,Oaxaca,15.679173,-96.516194,07/08/2022 20:47,7,8,2022
Momotus mexicanus,,Oaxaca,15.664879,-96.495688,11/05/2022 11:01,11,5,2022
Momotus coeruliceps,,San Luis Potosí,21.918447,-99.399249,27/07/2022 18:02,27,7,2022
Momotus lessonii,,Quintana Roo,20.701624,-87.05186,19/05/2022 14:22,19,5,2022
Momotus mexicanus,,Oaxaca,15.789115,-96.053895,13/08/2022 10:27,13,8,2022
Momotus coeruliceps,,Tamaulipas,23.770886,-99.205276,13/08/2022 09:33,13,8,2022
Momotus mexicanus,,Oaxaca,15.77174,-96.254447,23/01/2021 08:57,23,1,2021
Momotus mexicanus,,Oaxaca,15.77174,-96.254447,27/05/2021 12:36,27,5,2021
Momotus mexicanus,,Oaxaca,15.68024,-96.514514,07/05/2022 09:39,7,5,2022
Momotus coeruliceps,,Veracruz,19.54854,-96.917862,26/03/2022 12:32,26,3,2022
Momotus mexicanus,,Chiapas,16.011162,-93.430612,05/08/2022 06:36,5,8,2022
Momotus lessonii,,Chiapas,16.8974,-90.966006,26/04/2022 14:28,26,4,2022
Momotus mexicanus,"canyon del sabino Santa María Tecomavaca, Santa María Tecomavaca, Oaxaca",Oaxaca,17.8693,-97.0266,04/08/2022 00:00,4,8,2022
Momotus mexicanus,,Michoacán,18.832076,-101.906523,27/07/2022 18:42,27,7,2022
Momotus mexicanus,,Guerrero,18.020896,-99.735178,18/06/2021 00:00,18,6,2021
Momotus mexicanus,,Michoacán,18.830492,-101.886294,02/07/2022 07:05,2,7,2022
Momotus mexicanus,,Michoacán,18.829797,-101.905349,02/04/2020 08:02,2,4,2020
Momotus mexicanus,,Jalisco,19.776414,-104.709441,20/07/2022 10:52,20,7,2022
Momotus mexicanus,,Jalisco,20.761704,-103.378096,31/07/2022 11:46,31,7,2022
Momotus mexicanus,,Jalisco,19.78607,-104.718055,20/07/2022 11:19,20,7,2022
Momotus lessonii,,Veracruz,18.458617,-95.18519,22/07/2022 08:57,22,7,2022
Momotus mexicanus,,Michoacán,18.833192,-101.884394,11/10/2021 07:47,11,10,2021
Momotus mexicanus,,Jalisco,20.720936,-103.410386,31/07/2022 10:34,31,7,2022
Momotus lessonii,,Veracruz,18.872226,-96.874789,06/02/2021 12:31,6,2,2021
Momotus mexicanus,,Guerrero,17.550632,-99.488555,28/07/2022 18:44,28,7,2022
Momotus mexicanus,,Chiapas,16.725049,-93.093651,26/03/2022 14:04,26,3,2022
Momotus coeruliceps,,Veracruz,20.979578,-97.419098,17/07/2022 07:30,17,7,2022
Momotus lessonii,,Yucatán,21.027752,-89.639845,22/07/2022 09:51,22,7,2022
Momotus coeruliceps,,Tamaulipas,23.05369,-99.23233,05/05/2022 08:53,5,5,2022
Momotus mexicanus,,Oaxaca,16.489921,-95.154817,23/07/2022 10:28,23,7,2022
Momotus coeruliceps,,Tamaulipas,23.038678,-99.227448,04/05/2022 09:14,4,5,2022
Momotus coeruliceps,,Tamaulipas,23.044187,-99.22837,04/05/2022 06:33,4,5,2022
Momotus coeruliceps,,San Luis Potosí,21.976792,-99.017006,07/06/2022 09:54,7,6,2022
Momotus mexicanus,,Oaxaca,16.489921,-95.154817,23/07/2022 15:07,23,7,2022
Momotus mexicanus,,Jalisco,20.686291,-103.246465,05/07/2022 08:15,5,7,2022
Momotus mexicanus,,Michoacán,19.504334,-100.910291,07/07/2022 09:16,7,7,2022
Momotus mexicanus,,Chiapas,16.761664,-93.142871,15/06/2022 08:37,15,6,2022
Momotus lessonii,,Yucatán,20.857639,-90.385895,17/07/2022 13:36,17,7,2022
Momotus mexicanus,,Oaxaca,15.865914,-97.089711,25/07/2022 08:23,25,7,2022
Momotus mexicanus,,Jalisco,20.318156,-105.324642,30/06/2022 08:30,30,6,2022
Momotus coeruliceps,,Veracruz,19.543753,-96.910181,07/07/2022 15:46,7,7,2022
Momotus mexicanus,,Puebla,19.016086,-98.110948,02/06/2022 09:23,2,6,2022
Momotus mexicanus,,Oaxaca,15.860425,-97.084765,19/07/2022 10:53,19,7,2022
Momotus mexicanus,,Nayarit,21.921754,-104.512879,19/07/2022 23:46,19,7,2022
Momotus mexicanus,,Oaxaca,15.741133,-96.127912,06/07/2022 19:33,6,7,2022
Momotus lessonii,,Veracruz,18.551908,-95.153378,22/07/2022 16:00,22,7,2022
Momotus mexicanus,,Oaxaca,15.769205,-96.134858,08/07/2022 10:51,8,7,2022
Momotus coeruliceps,,Veracruz,19.516289,-96.889229,08/07/2022 12:10,8,7,2022
Momotus mexicanus,,Jalisco,20.740185,-103.222254,05/07/2022 10:15,5,7,2022
Momotus mexicanus,,Jalisco,20.339786,-105.308108,18/07/2022 07:58,18,7,2022
Momotus mexicanus,,Zacatecas,22.171926,-103.571222,16/07/2022 11:59,16,7,2022
Momotus mexicanus,,Morelos,18.981428,-99.211006,15/07/2022 14:18,15,7,2022
Momotus mexicanus,,Oaxaca,16.489921,-95.154817,25/07/2022 10:30,25,7,2022
Momotus mexicanus,,Nayarit,21.922232,-104.512192,19/07/2021 18:25,19,7,2021
Momotus mexicanus,,Jalisco,20.794743,-103.402835,20/07/2022 18:29,20,7,2022
Momotus mexicanus,,Guerrero,17.546865,-99.48057,08/07/2022 17:52,8,7,2022
Momotus coeruliceps,,Veracruz,19.515097,-96.889728,08/07/2022 10:04,8,7,2022
Momotus lessonii,,Quintana Roo,20.702062,-87.097757,06/07/2022 08:45,6,7,2022
Momotus mexicanus,,Oaxaca,15.664109,-96.496564,11/05/2022 07:27,11,5,2022
Momotus mexicanus,,Oaxaca,15.740618,-96.131005,06/07/2022 19:45,6,7,2022
Momotus mexicanus,"Parque Ecológico La Campana, Villa de Álvarez, Villa de Álvarez Municipality, Colima",Colima,19.2693,-103.7263,09/05/2022 00:00,9,5,2022
Momotus mexicanus,"Parque Ecológico La Campana, Villa de Álvarez, Villa de Álvarez Municipality, Colima",Colima,19.2693,-103.7263,09/05/2022 00:00,9,5,2022
Momotus mexicanus,"Parque Ecológico La Campana, Villa de Álvarez, Villa de Álvarez Municipality, Colima",Colima,19.2693,-103.7263,09/05/2022 00:00,9,5,2022
Momotus coeruliceps,,San Luis Potosí,22.107524,-98.942299,03/06/2022 10:00,3,6,2022
Momotus coeruliceps,,San Luis Potosí,21.981577,-99.018222,05/06/2022 07:50,5,6,2022
Momotus mexicanus,,Guerrero,18.370233,-99.867735,01/07/2022 16:24,1,7,2022
Momotus mexicanus,,Oaxaca,15.757379,-96.12841,04/06/2022 07:27,4,6,2022
Momotus mexicanus,,Chiapas,16.116014,-93.456023,01/06/2022 16:39,1,6,2022
Momotus coeruliceps,,Tamaulipas,23.064194,-99.16713,12/06/2022 08:42,12,6,2022
Momotus coeruliceps,,Veracruz,19.593956,-96.944324,01/07/2022 11:43,1,7,2022
Momotus mexicanus,,Jalisco,20.648515,-103.284272,26/06/2022 09:20,26,6,2022
Momotus lessonii,,Chiapas,14.948656,-92.162996,12/06/2022 12:35,12,6,2022
Momotus coeruliceps,,Veracruz,19.546363,-96.919688,25/06/2022 08:46,25,6,2022
Momotus mexicanus,,Morelos,18.950873,-99.249666,31/05/2022 12:12,31,5,2022
Momotus lessonii,,Veracruz,18.456632,-95.186634,02/03/2022 09:40,2,3,2022
Momotus mexicanus,,Chiapas,16.62674,-93.100208,08/05/2022 09:00,8,5,2022
Momotus mexicanus,,Chiapas,16.761298,-93.143317,24/06/2022 08:55,24,6,2022
Momotus mexicanus,,Morelos,18.897503,-99.178538,03/07/2022 18:57,3,7,2022
Momotus coeruliceps,,Puebla,20.00945,-97.511447,04/05/2022 19:07,4,5,2022
Momotus coeruliceps,,Guanajuato,21.448693,-99.840136,03/03/2022 07:46,3,3,2022
Momotus coeruliceps,,Guanajuato,21.448693,-99.840136,03/03/2022 07:42,3,3,2022
Momotus mexicanus,,Puebla,18.734125,-98.43888,03/07/2022 18:42,3,7,2022
Momotus mexicanus,,Jalisco,20.703448,-103.391115,10/05/2022 17:39,10,5,2022
Momotus mexicanus,,Jalisco,20.607306,-103.463199,30/06/2022 10:43,30,6,2022
Momotus mexicanus,,Puebla,18.325745,-97.4533,18/06/2022 07:56,18,6,2022
Momotus mexicanus,,Chiapas,16.813321,-93.076794,28/06/2022 09:10,28,6,2022
Momotus mexicanus,,Jalisco,20.775422,-103.615575,12/06/2022 03:33,12,6,2022
Momotus mexicanus,,Sinaloa,23.502406,-106.319969,30/04/2022 09:54,30,4,2022
Momotus coeruliceps,,San Luis Potosí,21.794667,-99.162467,15/06/2022 16:57,15,6,2022
Momotus lessonii,,Quintana Roo,20.628214,-87.086495,18/06/2022 16:13,18,6,2022
Momotus mexicanus,,Morelos,18.687472,-99.118968,05/06/2022 00:00,5,6,2022
Momotus mexicanus,,Jalisco,20.781665,-103.610805,12/06/2022 08:40,12,6,2022
Momotus mexicanus,,Oaxaca,15.875087,-97.098218,02/06/2022 05:20,2,6,2022
Momotus lessonii,,Quintana Roo,20.078349,-87.60988,03/03/2022 09:21,3,3,2022
Momotus mexicanus,,Jalisco,20.761738,-103.37738,23/06/2022 11:01,23,6,2022
Momotus lessonii,,Quintana Roo,20.078345,-87.60984,03/03/2022 09:03,3,3,2022
Momotus mexicanus,,Chiapas,16.62674,-93.100208,08/05/2022 09:00,8,5,2022
Momotus coeruliceps,,Tamaulipas,22.987513,-99.147662,31/05/2022 14:19,31,5,2022
Momotus mexicanus,,Oaxaca,17.927991,-97.013135,20/05/2022 11:25,20,5,2022
Momotus mexicanus,,Jalisco,20.337864,-105.345331,08/05/2022 15:46,8,5,2022
